stage,count,notes
records_identified_total,2881,Sum across primary databases
pubmed,65,
embase,39,
web_of_science,35,
scopus,2742,
duplicates_removed,90,Identified during EndNote-based deduplication
records_after_deduplication,2791,= 2881 - 90
records_excluded_automated_preliminary,2728,Excluded by publication type / language / hospital-based / broad topical relevance filters
records_retained_detailed_title_abstract,63,= 2791 - 2728
records_excluded_detailed_screening,33,Sum of detailed-stage exclusions
additional_duplicates_detailed_screening,3,Duplicates not detected by automated filter
other_unrelated_topics,7,
hospital_based_studies,15,
not_original_research,6,Reviews / protocols / opinions / commentaries
not_related_to_frailty,2,
reports_assessed_for_eligibility,30,= 63 - 33
reports_excluded_full_text,16,Sum of full-text exclusions
sample_size_below_1000_only,7,Sample size <1000; population age criterion met
population_age_below_60_only,4,Population age <60; sample-size criterion met
both_sample_size_and_age_criteria,3,Failed both criteria simultaneously
non_scie_indexed_journals,2,Not indexed in SCI(E)
studies_included,14,= 30 - 16; final synthesis set
